sample_name	treatment	tissue	plate	date
Chrom_40_2_h_G11 control head 40_2_h 8_8_22
Chrom_40_2_h_G12 control head 40_2_h 8_8_22
Chrom_40_2_h_G2 control head 40_2_h 8_8_22
Chrom_40_2_h_G3 control head 40_2_h 8_8_22
Chrom_40_2_h_G4 control head 40_2_h 8_8_22
Chrom_40_2_h_G5 control head 40_2_h 8_8_22
Chrom_40_2_h_G6 control head 40_2_h 8_8_22
Chrom_40_2_h_G7 control head 40_2_h 8_8_22
Chrom_40_2_h_G8 control head 40_2_h 8_8_22
Chrom_40_2_h_G9 control head 40_2_h 8_8_22
Chrom_40_2_h_H1 control head 40_2_h 8_8_22
Chrom_40_2_h_H10 control head 40_2_h 8_8_22
Chrom_40_2_h_H11 control head 40_2_h 8_8_22
Chrom_40_2_h_H12 control head 40_2_h 8_8_22
Chrom_40_2_h_H2 control head 40_2_h 8_8_22
Chrom_40_2_h_H3 control head 40_2_h 8_8_22
Chrom_40_2_h_H4 control head 40_2_h 8_8_22
Chrom_40_2_h_H5 control head 40_2_h 8_8_22
Chrom_40_2_h_H6 control head 40_2_h 8_8_22
Chrom_40_2_h_H7 control head 40_2_h 8_8_22
Chrom_40_2_h_H8 control head 40_2_h 8_8_22
Chrom_40_2_h_H9 control head 40_2_h 8_8_22
Chrom_40_3_h_A1 control head 40_3_h 8_9_22
Chrom_40_3_h_A10 control head 40_3_h 8_9_22
Chrom_40_3_h_A11 control head 40_3_h 8_9_22
Chrom_40_3_h_A12 control head 40_3_h 8_9_22
Chrom_40_3_h_A2 control head 40_3_h 8_9_22
Chrom_40_3_h_A3 control head 40_3_h 8_9_22
Chrom_40_3_h_A4 control head 40_3_h 8_9_22
Chrom_40_3_h_A5 control head 40_3_h 8_9_22
Chrom_40_3_h_A6 control head 40_3_h 8_9_22
Chrom_40_3_h_A7 control head 40_3_h 8_9_22
Chrom_40_3_h_A8 control head 40_3_h 8_9_22
Chrom_40_3_h_A9 control head 40_3_h 8_9_22
Chrom_40_3_h_B1 control head 40_3_h 8_9_22
Chrom_40_3_h_B10 control head 40_3_h 8_9_22
Chrom_40_3_h_B11 control head 40_3_h 8_9_22
Chrom_40_3_h_B12 control head 40_3_h 8_9_22
Chrom_40_3_h_B2 control head 40_3_h 8_9_22
Chrom_40_3_h_B3 control head 40_3_h 8_9_22
Chrom_40_3_h_B4 control head 40_3_h 8_9_22
Chrom_40_3_h_B5 control head 40_3_h 8_9_22
Chrom_40_3_h_B6 control head 40_3_h 8_9_22
Chrom_40_3_h_B7 control head 40_3_h 8_9_22
Chrom_40_3_h_B8 control head 40_3_h 8_9_22
Chrom_40_3_h_B9 control head 40_3_h 8_9_22
Chrom_40_3_h_C1 control head 40_3_h 8_9_22
Chrom_40_3_h_C10 control head 40_3_h 8_9_22
Chrom_40_3_h_C11 control head 40_3_h 8_9_22
Chrom_40_3_h_C12 control head 40_3_h 8_9_22
Chrom_40_3_h_C2 control head 40_3_h 8_9_22
Chrom_40_3_h_C3 control head 40_3_h 8_9_22
Chrom_40_3_h_C4 control head 40_3_h 8_9_22
Chrom_40_3_h_C5 control head 40_3_h 8_9_22
Chrom_40_3_h_C6 control head 40_3_h 8_9_22
Chrom_40_3_h_C7 control head 40_3_h 8_9_22
Chrom_40_3_h_C8 control head 40_3_h 8_9_22
Chrom_40_3_h_C9 control head 40_3_h 8_9_22
Chrom_40_3_h_D1 control head 40_3_h 8_9_22
Chrom_40_3_h_D10 control head 40_3_h 8_9_22
Chrom_40_3_h_D11 control head 40_3_h 8_9_22
Chrom_40_3_h_D12 control head 40_3_h 8_9_22
Chrom_40_3_h_D2 control head 40_3_h 8_9_22
Chrom_40_3_h_D3 control head 40_3_h 8_9_22
Chrom_40_3_h_D4 control head 40_3_h 8_9_22
Chrom_40_3_h_D5 control head 40_3_h 8_9_22
Chrom_40_3_h_D6 control head 40_3_h 8_9_22
Chrom_40_3_h_D7 control head 40_3_h 8_9_22
Chrom_40_3_h_D8 control head 40_3_h 8_9_22
Chrom_40_3_h_D9 control head 40_3_h 8_9_22
Chrom_40_3_h_E1 control head 40_3_h 8_9_22
Chrom_40_3_h_E10 control head 40_3_h 8_9_22
Chrom_40_3_h_E11 control head 40_3_h 8_9_22
Chrom_40_3_h_E12 control head 40_3_h 8_9_22
Chrom_40_3_h_E2 control head 40_3_h 8_9_22
Chrom_40_3_h_E3 control head 40_3_h 8_9_22
Chrom_40_3_h_E4 control head 40_3_h 8_9_22
Chrom_40_3_h_E5 control head 40_3_h 8_9_22
Chrom_40_3_h_E6 control head 40_3_h 8_9_22
Chrom_40_3_h_E7 control head 40_3_h 8_9_22
Chrom_40_3_h_E8 control head 40_3_h 8_9_22
Chrom_40_3_h_E9 control head 40_3_h 8_9_22
Chrom_40_3_h_F1 control head 40_3_h 8_9_22
Chrom_40_3_h_F10 control head 40_3_h 8_9_22
Chrom_40_3_h_F11 control head 40_3_h 8_9_22
Chrom_40_3_h_F12 control head 40_3_h 8_9_22
Chrom_40_3_h_F2 control head 40_3_h 8_9_22
Chrom_40_3_h_F3 control head 40_3_h 8_9_22
Chrom_40_3_h_F4 control head 40_3_h 8_9_22
Chrom_40_3_h_F5 control head 40_3_h 8_9_22
Chrom_40_3_h_F6 control head 40_3_h 8_9_22
Chrom_40_3_h_F7 control head 40_3_h 8_9_22
Chrom_40_3_h_F8 control head 40_3_h 8_9_22
Chrom_40_3_h_F9 control head 40_3_h 8_9_22
Chrom_40_3_h_G1 control head 40_3_h 8_9_22
Chrom_40_3_h_G10 control head 40_3_h 8_9_22
Chrom_40_3_h_G11 control head 40_3_h 8_9_22
Chrom_40_3_h_G12 control head 40_3_h 8_9_22
Chrom_40_3_h_G2 control head 40_3_h 8_9_22
Chrom_40_3_h_G3 control head 40_3_h 8_9_22
Chrom_40_3_h_G4 control head 40_3_h 8_9_22
Chrom_40_3_h_G5 control head 40_3_h 8_9_22
Chrom_40_3_h_G6 control head 40_3_h 8_9_22
Chrom_40_3_h_G7 control head 40_3_h 8_9_22
Chrom_40_3_h_G8 control head 40_3_h 8_9_22
Chrom_40_3_h_G9 control head 40_3_h 8_9_22
Chrom_40_3_h_H1 control head 40_3_h 8_9_22
Chrom_40_3_h_H10 control head 40_3_h 8_9_22
Chrom_40_3_h_H11 control head 40_3_h 8_9_22
Chrom_40_3_h_H12 control head 40_3_h 8_9_22
Chrom_40_3_h_H2 control head 40_3_h 8_9_22
Chrom_40_3_h_H3 control head 40_3_h 8_9_22
Chrom_40_3_h_H4 control head 40_3_h 8_9_22
Chrom_40_3_h_H5 control head 40_3_h 8_9_22
Chrom_40_3_h_H6 control head 40_3_h 8_9_22
Chrom_40_3_h_H7 control head 40_3_h 8_9_22
Chrom_40_3_h_H8 control head 40_3_h 8_9_22
Chrom_40_3_h_H9 control head 40_3_h 8_9_22
Chrom_40_4_h_A1 control head 40_4_h 8_9_22
Chrom_40_4_h_A10 control head 40_4_h 8_9_22
Chrom_40_4_h_A11 control head 40_4_h 8_9_22
Chrom_40_4_h_A12 control head 40_4_h 8_9_22
Chrom_40_4_h_A2 control head 40_4_h 8_9_22
Chrom_40_4_h_A3 control head 40_4_h 8_9_22
Chrom_40_4_h_A4 control head 40_4_h 8_9_22
Chrom_40_4_h_A5 control head 40_4_h 8_9_22
Chrom_40_4_h_A6 control head 40_4_h 8_9_22
Chrom_40_4_h_A7 control head 40_4_h 8_9_22
Chrom_40_4_h_A8 control head 40_4_h 8_9_22
Chrom_40_4_h_A9 control head 40_4_h 8_9_22
Chrom_40_4_h_B1 control head 40_4_h 8_9_22
Chrom_40_4_h_B10 control head 40_4_h 8_9_22
Chrom_40_4_h_B11 control head 40_4_h 8_9_22
Chrom_40_4_h_B12 control head 40_4_h 8_9_22
Chrom_40_4_h_B2 control head 40_4_h 8_9_22
Chrom_40_4_h_B3 control head 40_4_h 8_9_22
Chrom_40_4_h_B4 control head 40_4_h 8_9_22
Chrom_40_4_h_B5 control head 40_4_h 8_9_22
Chrom_40_4_h_B6 control head 40_4_h 8_9_22
Chrom_40_4_h_B7 control head 40_4_h 8_9_22
Chrom_40_4_h_B8 control head 40_4_h 8_9_22
Chrom_40_4_h_B9 control head 40_4_h 8_9_22
Chrom_40_4_h_C1 control head 40_4_h 8_9_22
Chrom_40_4_h_C10 control head 40_4_h 8_9_22
Chrom_40_4_h_C11 control head 40_4_h 8_9_22
Chrom_40_4_h_C12 control head 40_4_h 8_9_22
Chrom_40_4_h_C2 control head 40_4_h 8_9_22
Chrom_40_4_h_C3 control head 40_4_h 8_9_22
Chrom_40_4_h_C4 control head 40_4_h 8_9_22
Chrom_40_4_h_C5 control head 40_4_h 8_9_22
Chrom_40_4_h_C6 control head 40_4_h 8_9_22
Chrom_40_4_h_C7 control head 40_4_h 8_9_22
Chrom_40_4_h_C8 control head 40_4_h 8_9_22
Chrom_40_4_h_C9 control head 40_4_h 8_9_22
Chrom_40_4_h_D1 control head 40_4_h 8_9_22
Chrom_40_4_h_D10 control head 40_4_h 8_9_22
Chrom_40_4_h_D11 control head 40_4_h 8_9_22
Chrom_40_4_h_D12 control head 40_4_h 8_9_22
Chrom_40_4_h_D2 control head 40_4_h 8_9_22
Chrom_40_4_h_D3 control head 40_4_h 8_9_22
Chrom_40_4_h_D4 control head 40_4_h 8_9_22
Chrom_40_4_h_D5 control head 40_4_h 8_9_22
Chrom_40_4_h_D6 control head 40_4_h 8_9_22
Chrom_40_4_h_D7 control head 40_4_h 8_9_22
Chrom_40_4_h_D8 control head 40_4_h 8_9_22
Chrom_40_4_h_D9 control head 40_4_h 8_9_22
Chrom_40_4_h_E1 control head 40_4_h 8_9_22
Chrom_40_4_h_E10 control head 40_4_h 8_9_22
Chrom_40_4_h_E11 control head 40_4_h 8_9_22
Chrom_40_4_h_E12 control head 40_4_h 8_9_22
Chrom_40_4_h_E2 control head 40_4_h 8_9_22
Chrom_40_4_h_E3 control head 40_4_h 8_9_22
Chrom_40_4_h_E4 control head 40_4_h 8_9_22
Chrom_40_4_h_E5 control head 40_4_h 8_9_22
Chrom_40_4_h_E6 control head 40_4_h 8_9_22
Chrom_40_4_h_E7 control head 40_4_h 8_9_22
Chrom_40_4_h_E8 control head 40_4_h 8_9_22
Chrom_40_4_h_E9 control head 40_4_h 8_9_22
Chrom_40_4_h_F1 control head 40_4_h 8_9_22
Chrom_40_4_h_F10 control head 40_4_h 8_9_22
Chrom_40_4_h_F11 control head 40_4_h 8_9_22
Chrom_40_4_h_F12 control head 40_4_h 8_9_22
Chrom_40_4_h_F2 control head 40_4_h 8_9_22
Chrom_40_4_h_F3 control head 40_4_h 8_9_22
Chrom_40_4_h_F4 control head 40_4_h 8_9_22
Chrom_40_4_h_F5 control head 40_4_h 8_9_22
Chrom_40_4_h_F6 control head 40_4_h 8_9_22
Chrom_40_4_h_F7 control head 40_4_h 8_9_22
Chrom_40_4_h_F8 control head 40_4_h 8_9_22
Chrom_40_4_h_F9 control head 40_4_h 8_9_22
Chrom_40_4_h_G1 control head 40_4_h 8_9_22
Chrom_40_4_h_G10 control head 40_4_h 8_9_22
Chrom_40_4_h_G11 control head 40_4_h 8_9_22
Chrom_40_4_h_G12 control head 40_4_h 8_9_22
Chrom_40_4_h_G2 control head 40_4_h 8_9_22
Chrom_40_4_h_G3 control head 40_4_h 8_9_22
Chrom_40_4_h_G4 control head 40_4_h 8_9_22
Chrom_40_4_h_G5 control head 40_4_h 8_9_22
Chrom_40_4_h_G6 control head 40_4_h 8_9_22
Chrom_40_4_h_G7 control head 40_4_h 8_9_22
Chrom_40_4_h_G8 control head 40_4_h 8_9_22
Chrom_40_4_h_G9 control head 40_4_h 8_9_22
Chrom_40_4_h_H1 control head 40_4_h 8_9_22
Chrom_40_4_h_H10 control head 40_4_h 8_9_22
Chrom_40_4_h_H11 control head 40_4_h 8_9_22
Chrom_40_4_h_H12 control head 40_4_h 8_9_22
Chrom_40_4_h_H2 control head 40_4_h 8_9_22
Chrom_40_4_h_H3 control head 40_4_h 8_9_22
Chrom_40_4_h_H4 control head 40_4_h 8_9_22
Chrom_40_4_h_H5 control head 40_4_h 8_9_22
Chrom_40_4_h_H6 control head 40_4_h 8_9_22
Chrom_40_4_h_H7 control head 40_4_h 8_9_22
Chrom_40_4_h_H8 control head 40_4_h 8_9_22
Chrom_40_4_h_H9 control head 40_4_h 8_9_22
Chrom_50_1_h_A1 3mM head 50_1_h 8_4_22
Chrom_50_1_h_A10 3mM head 50_1_h 8_4_22
Chrom_50_1_h_A11 3mM head 50_1_h 8_4_22
Chrom_50_1_h_A12 3mM head 50_1_h 8_4_22
Chrom_50_1_h_A2 3mM head 50_1_h 8_4_22
Chrom_50_1_h_A3 3mM head 50_1_h 8_4_22
Chrom_50_1_h_A4 3mM head 50_1_h 8_4_22
Chrom_50_1_h_A5 3mM head 50_1_h 8_4_22
Chrom_50_1_h_A6 3mM head 50_1_h 8_4_22
Chrom_50_1_h_A7 3mM head 50_1_h 8_4_22
Chrom_50_1_h_A8 3mM head 50_1_h 8_4_22
Chrom_50_1_h_A9 3mM head 50_1_h 8_4_22
Chrom_50_1_h_B1 3mM head 50_1_h 8_4_22
Chrom_50_1_h_B10 3mM head 50_1_h 8_4_22
Chrom_50_1_h_B11 3mM head 50_1_h 8_4_22
Chrom_50_1_h_B12 3mM head 50_1_h 8_4_22
Chrom_50_1_h_B2 3mM head 50_1_h 8_4_22
Chrom_50_1_h_B3 3mM head 50_1_h 8_4_22
Chrom_50_1_h_B4 3mM head 50_1_h 8_4_22
Chrom_50_1_h_B5 3mM head 50_1_h 8_4_22
Chrom_50_1_h_B6 3mM head 50_1_h 8_4_22
Chrom_50_1_h_B7 3mM head 50_1_h 8_4_22
Chrom_50_1_h_B8 3mM head 50_1_h 8_4_22
Chrom_50_1_h_B9 3mM head 50_1_h 8_4_22
Chrom_50_1_h_C1 3mM head 50_1_h 8_4_22
Chrom_50_1_h_C10 3mM head 50_1_h 8_4_22
Chrom_50_1_h_C11 3mM head 50_1_h 8_4_22
Chrom_50_1_h_C12 3mM head 50_1_h 8_4_22
Chrom_50_1_h_C2 3mM head 50_1_h 8_4_22
Chrom_50_1_h_C3 3mM head 50_1_h 8_4_22
Chrom_50_1_h_C4 3mM head 50_1_h 8_4_22
Chrom_50_1_h_C5 3mM head 50_1_h 8_4_22
Chrom_50_1_h_C6 3mM head 50_1_h 8_4_22
Chrom_50_1_h_C7 3mM head 50_1_h 8_4_22
Chrom_50_1_h_C8 3mM head 50_1_h 8_4_22
